t,XxV,XyV,XzV,qx,qy,qz,qw,ZxW,ZyW,ZzW,ExB,EyB,EzB,eta,E1I,E2I
0.00543,-0.445627,1.88554,1.50476,0.000952758,-0.00835654,0.0357802,0.999324,-0.140707,1.74556,0,0.113856,-0.2747,-1.50476,-0.920732074714885,439.43,434.22
0.01777,-0.452704,1.88601,1.51492,-0.00334518,-0.0150671,0.038807,0.999128,-0.140677,1.74552,0,0.114624,-0.276554,-1.51492,-0.922203877580283,439.43,434.22
0.02946,-0.452704,1.88601,1.51492,-0.00334518,-0.0150671,0.038807,0.999128,-0.140677,1.74552,0,0.114624,-0.276554,-1.51492,-0.922203877580283,439.43,434.22
0.04535,-0.458847,1.88581,1.52406,0.00100971,-0.0118289,0.0397515,0.999139,-0.140677,1.74552,0,0.115316,-0.278222,-1.52406,-0.923511623377336,439.43,434.22
0.05679,-0.461111,1.88574,1.52737,0.000810503,-0.0118042,0.0404414,0.999112,-0.140707,1.74546,0,0.115567,-0.278828,-1.52737,-0.923984436189088,439.43,434.22
0.06373,-0.461111,1.88574,1.52737,0.000810503,-0.0118042,0.0404414,0.999112,-0.140707,1.74546,0,0.115567,-0.278828,-1.52737,-0.923984436189088,439.43,434.22
0.07207,-0.461111,1.88574,1.52737,0.000810503,-0.0118042,0.0404414,0.999112,-0.140707,1.74546,0,0.115567,-0.278828,-1.52737,-0.923984436189088,439.43,434.22
0.08487,-0.466665,1.88604,1.53516,0.000557979,-0.0136896,0.0485567,0.998726,-0.140715,1.74549,0,0.116156,-0.280249,-1.53516,-0.925085429890073,439.43,434.22
0.09655,-0.466665,1.88604,1.53516,0.000557979,-0.0136896,0.0485567,0.998726,-0.140715,1.74549,0,0.116156,-0.280249,-1.53516,-0.925085429890073,439.43,434.22
0.10654,-0.466665,1.88604,1.53516,0.000557979,-0.0136896,0.0485567,0.998726,-0.140715,1.74549,0,0.116156,-0.280249,-1.53516,-0.925085429890073,439.43,434.22
0.11754,-0.47476,1.88531,1.54247,0.00356531,-0.0108906,0.040786,0.999102,-0.140708,1.74552,0,0.116709,-0.281584,-1.54247,-0.926112111102605,439.43,434.22
0.13032,-0.478591,1.88473,1.54522,0.00335147,-0.00787876,0.0405135,0.999142,-0.140745,1.7455,0,0.116917,-0.282086,-1.54522,-0.926495941488871,439.43,434.22
0.14271,-0.478591,1.88473,1.54522,0.00335147,-0.00787876,0.0405135,0.999142,-0.140745,1.7455,0,0.116917,-0.282086,-1.54522,-0.926495941488871,439.43,434.22
0.15668,-0.4816,1.88437,1.5471,0.00225366,-0.00735464,0.039098,0.999206,-0.140714,1.74552,0,0.117059,-0.282429,-1.5471,-0.926757812899128,439.43,434.22
0.16598,-0.4816,1.88437,1.5471,0.00225366,-0.00735464,0.039098,0.999206,-0.140714,1.74552,0,0.117059,-0.282429,-1.5471,-0.926757812899128,439.43,434.22
0.17828,-0.4816,1.88437,1.5471,0.00225366,-0.00735464,0.039098,0.999206,-0.140714,1.74552,0,0.117059,-0.282429,-1.5471,-0.926757812899128,439.43,434.22
0.18684,-0.4816,1.88437,1.5471,0.00225366,-0.00735464,0.039098,0.999206,-0.140714,1.74552,0,0.117059,-0.282429,-1.5471,-0.926757812899128,439.43,434.22
0.19495,-0.4816,1.88437,1.5471,0.00225366,-0.00735464,0.039098,0.999206,-0.140714,1.74552,0,0.117059,-0.282429,-1.5471,-0.926757812899128,439.43,434.22
0.20583,-0.490368,1.88307,1.5519,0.00286331,-0.00960286,0.0356298,0.999315,-0.140778,1.74554,0,0.117422,-0.283305,-1.5519,-0.927423431384128,439.43,434.22
