t,xi,yi,zi,q_x,q_y,q_z,q_w,ax_b,ay_b,az_b,wx_b,wy_b,wz_b
9.56,-1.5324,-1.49843,1.57714,-0.00513979,0.00748837,0.665716,0.74615,-0.28449,0.16677,9.7119,-0.202633,0.0942478,0.0120428
171.62,-1.51126,-1.50498,1.56521,0.0174237,0.0306508,0.670451,0.741115,-0.25506,0.21582,9.52551,-0.0801106,-0.235619,0.0950332
331.05,-1.39934,-1.50622,1.54001,0.0122423,0.0235953,0.672826,0.739323,-0.45126,0.26487,9.94734,0.337198,-0.540354,-0.283791
501.49,-1.20566,-1.49827,1.52121,0.0128291,0.015736,0.671856,0.740404,-0.45126,0.32373,9.67266,-0.286147,0.667588,-0.130376
663.38,-0.994132,-1.49498,1.513,0.0108436,0.00885657,0.667,0.744926,-0.22563,0.27468,9.83943,0.670992,0.0586431,-0.146084
823.06,-0.766285,-1.50578,1.50817,0.00494513,0.00866051,0.66344,0.748163,-0.34335,0.35316,9.65304,-0.246877,0.0932006,-0.117286
1002.72,-0.542801,-1.51652,1.5108,0.00347334,0.0115799,0.659589,0.751529,-0.23544,0.45126,9.79038,-0.258396,-0.33458,-0.0534071
1162.93,-0.324239,-1.51119,1.50768,0.00875261,0.0144497,0.663004,0.748426,-0.22563,0.31392,9.9081,0.362592,-0.330914,-0.135612
1320.95,-0.0979033,-1.49255,1.51139,0.00906877,0.00698219,0.668148,0.74394,-0.32373,0.37278,9.99639,-0.0348193,0.141633,-0.0774926
1478.07,0.124416,-1.47293,1.51626,0.00612298,0.0132302,0.672724,0.73975,-0.17658,0.40221,9.38817,0.1309,0.72754,0.0701622
1641.93,0.315496,-1.41568,1.51448,-0.0243333,0.0166732,0.665714,0.745624,-0.17658,0.36297,9.73152,-0.257349,0.27201,-0.0866556
1797.31,0.454412,-1.24794,1.50713,-0.0145673,-0.00130695,0.654889,0.755583,-0.04905,0.33354,9.54513,-0.0342957,-0.315468,-0.0738274
1956.31,0.517902,-1.02996,1.49056,-0.0104717,0.00376781,0.683114,0.730227,-0.02943,0.17658,9.82962,0.455269,0.139801,-0.0185878
2112.17,0.531907,-0.840359,1.36372,0.0169395,-0.00433838,0.713446,0.700492,-0.12753,0.31392,8.64261,0.54847,-0.281958,0.00654498
2263.18,0.530202,-0.733581,1.38733,-0.0237362,0.0212334,0.698096,0.715295,-0.17658,0.06867,10.6242,0.531191,0.395317,-0.421497
2418.11,0.516771,-0.576723,1.44706,-0.00428658,0.0316308,0.675674,0.736509,-0.1962,0.28449,10.1141,0.113359,0.58774,-0.137706
2566.7,0.545187,-0.376287,1.47999,-0.0164549,0.0125129,0.691303,0.722269,-0.36297,0.22563,9.49608,-0.146869,-0.196611,-0.0955568
2715.17,0.569806,-0.150817,1.49626,-0.0167033,0.00894565,0.692628,0.721046,-0.34335,0.21582,9.84924,0.260752,-0.283267,-0.115977
2862.18,0.586796,0.0570765,1.50386,-0.0199597,0.00904897,0.69182,0.721738,-0.25506,-0.01962,9.36855,0.115454,-0.149226,0.214676
3009.36,0.619926,0.269721,1.51606,0.0110322,0.038577,0.688231,0.724381,-0.45126,0.10791,9.46665,0.179856,0.511556,-0.0295833
3154.82,0.758253,0.503184,1.50967,0.0108057,0.0334664,0.673554,0.738301,-0.25506,0.28449,9.65304,-0.0256563,0.655022,0.0916298
3300.9,0.979284,0.737881,1.50436,0.000237623,0.0273101,0.668937,0.742817,-0.33354,0.22563,9.47646,-0.584074,0.218341,0.12069
